"Osteolepiformes",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2
"Panderichthyidae",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"Acanthostega",1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1
"Tulerpeton",1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1
"Crassigyrinus",1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1
"Baphetidae",1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1
"Colosteidae",1,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1
"Dendrerpeton",1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1
"Eryops",1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1
"Ecolsonia",1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1
"Tersomius",1,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1
"Apateon",1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1
"Amphibamus",1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2
"Doleserpeton",1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2
"Gephyrostegidae",1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1
"Solenodonsaurus",1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2
"Limnoscelis",1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1
"Diadectes",1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2
